State,County,Latitude,Longitude,Region,Year,Population,Med_Sales,Rec_Sales,med_sales_per_citizen,rec_sales_per_citizen,Medical Sales Tax (2.9%),Retail Sales Tax (2.9%),Retail Marijuana Special Sales Tax
COLORADO,Adams ,39.874325,-104.331872,NE,2014,479477,5781889,2749908,12.05874109,5.735224004,150247,38490,40187
COLORADO,Alamosa ,37.568442,-105.788041,SW,2014,15758,NR,0,NR,0,NR,0,0
COLORADO,Arapahoe ,39.644632,-104.331733,NE,2014,617498,16861284,2221929,27.30581152,3.598277241,333697,23467,68510
COLORADO,Archuleta ,37.202395,-107.050863,SW,2014,12240,NR,NR,NR,NR,NR,NR,NR
COLORADO,Baca ,37.303144,-102.535457,SE,2014,3576,0,0,0,0,0,0,0
COLORADO,Bent ,37.931891,-103.077584,SE,2014,5777,0,0,0,0,0,0,0
COLORADO,Boulder ,40.094826,-105.398382,NE,2014,312588,34337366,28598157,109.8486378,91.48833928,895194,722256,2128576
COLORADO,Broomfield,39.953383,-105.052125,NE,2014,61617,0,0,0,0,0,0,0
COLORADO,Chaffee ,38.738246,-106.316972,SW,2014,18453,438167,NR,23.74502791,NR,15178,NR,NR
COLORADO,Cheyenne ,38.835387,-102.604585,SE,2014,1836,0,0,0,0,0,0,0
COLORADO,Clear Creek ,39.689403,-105.670791,NW,2014,9127,1242045,4853720,136.0846938,531.7979621,33243,130195,377635
COLORADO,Conejos ,37.268971,-106.252214,SW,2014,8196,0,0,0,0,0,0,0
COLORADO,Costilla ,37.277547,-105.42894,SE,2014,3563,NR,NR,NR,NR,NR,NR,NR
COLORADO,Crowley ,38.321956,-103.787562,SE,2014,5559,0,0,0,0,0,0,0
COLORADO,Custer ,38.101994,-105.373515,SE,2014,4337,0,0,0,0,0,0,0
COLORADO,Delta ,38.861756,-107.864757,SW,2014,29968,0,0,0,0,0,0,0
COLORADO,Denver ,39.761849,-104.880625,NE,2014,664715,174581324,151349554,262.6408671,227.6908961,4746441,3958976,11602829
COLORADO,Dolores ,37.747602,-108.530383,SW,2014,1968,0,0,0,0,0,0,0
COLORADO,Douglas ,39.326435,-104.926199,NE,2014,314527,0,0,0,0,0,0,0
COLORADO,Eagle ,39.630638,-106.692944,NW,2014,53091,2259892,2234621,42.56638602,42.09039197,62120,42318,129544
COLORADO,Elbert ,39.310817,-104.117928,NE,2014,23965,0,0,0,0,0,0,0
COLORADO,El Paso,39.630638,-106.692944,SE,2014,663443,67026306,NR,101.0279798,NR,1743466,NR,NR
COLORADO,Fremont ,38.455658,-105.421438,SE,2014,46093,2530928,0,54.90916191,0,68284,0,0
COLORADO,Garfield ,39.599352,-107.90978,NW,2014,57182,4892957,3851567,85.56813333,67.35628345,138898,93567,280152
COLORADO,Gilpin ,39.861082,-105.528947,NE,2014,5737,371334,1376580,64.7261635,239.9477079,10186,41666,108889
COLORADO,Grand ,40.123289,-106.095876,NW,2014,14535,NR,NR,NR,NR,NR,0,0
COLORADO,Gunnison ,38.669679,-107.078108,SW,2014,15792,36255,1418443,2.295782675,89.82035208,3655,34257,101487
COLORADO,Hinsdale ,37.811625,-107.383405,SW,2014,771,0,0,0,0,0,0,0
COLORADO,Huerfano ,37.612598,-104.938885,SE,2014,6370,0,0,0,0,0,0,0
COLORADO,Jackson ,40.663432,-106.329248,NW,2014,1384,0,0,0,0,0,0,0
COLORADO,Jefferson ,39.58646,-105.245601,NE,2014,558554,23378558,17685199,41.85550189,31.66246952,582515,444658,1326589
COLORADO,Kiowa ,38.388466,-102.75621,SE,2014,1377,0,0,0,0,0,0,0
COLORADO,Kit Carson ,39.30534,-102.603023,NE,2014,7998,0,0,0,0,0,0,0
COLORADO,Lake ,39.30534,-102.603023,NW,2014,7272,0,NR,0,NR,NR,NR,NR
COLORADO,La Plata ,39.204316,-106.349696,SW,2014,53883,6726061,1486443,124.827144,27.58649296,178213,18997,55037
COLORADO,Larimer ,40.663091,-105.482131,NE,2014,323792,13944961,8433806,43.06765146,26.04698695,347192,199515,581704
COLORADO,Las Animas ,38.066674,-103.222708,SE,2014,14041,0,0,0,0,0,NR,NR
COLORADO,Lincoln ,38.99374,-103.507555,SE,2014,5512,0,0,0,0,0,0,0
COLORADO,Logan ,40.728091,-103.090464,NE,2014,22104,0,0,0,0,0,0,0
COLORADO,Mesa ,39.019492,-108.461837,NW,2014,147735,NR,0,NR,0,NR,0,0
COLORADO,Mineral ,37.651478,-106.9323,SW,2014,703,0,0,0,0,0,0,0
COLORADO,Moffat ,40.573984,-108.204521,NW,2014,12944,NR,0,NR,0,NR,0,0
COLORADO,Montezuma ,37.338025,-108.595786,SW,2014,25464,1045651,NR,41.06389413,NR,29099,0,0
COLORADO,Montrose ,38.413427,-108.263042,SW,2014,40564,NR,0,NR,0,NR,0,0
COLORADO,Morgan ,40.262354,-103.807092,NE,2014,28007,NR,NR,NR,NR,NR,NR,NR
COLORADO,Otero ,37.939766,-103.636272,SE,2014,18335,0,0,0,0,NR,NR,NR
COLORADO,Ouray ,38.1506,-107.767133,SW,2014,4560,NR,NR,NR,NR,NR,NR,NR
COLORADO,Park ,39.118914,-105.717648,NW,2014,16353,NR,NR,NR,NR,NR,NR,NR
COLORADO,Phillips ,40.594712,-102.345105,NE,2014,4375,0,0,0,0,2135,6478,21362
COLORADO,Pitkin ,39.217533,-106.915943,NW,2014,17664,1419703,3120952,80.37267889,176.6843297,44635,66096,191460
COLORADO,Prowers ,37.958181,-102.392161,SE,2014,12042,0,0,0,0,0,0,0
COLORADO,Pueblo ,38.170658,-104.489893,SE,2014,161042,4903907,14739255,30.45110592,91.5242918,122830,415037,1135492
COLORADO,Rio Blanco ,39.972606,-108.200685,NW,2014,6599,0,0,0,0,0,0,0
